"SKU";"Name";"Category";"Схема";"Brand";"Seller";"Balance";"Balance FBS";"Comments";"Final price";"Max price";"Min price";"Average price";"Median price";"Цена с Ozon картой";"Sales";"Revenue";"Revenue potential";"Revenue average";"Lost profit";"Lost profit percent";"URL";"Thumb";"Days in stock";"Days with sales";"Average if in stock";"Rating";"FBS";"Base price";"Category Position";"Categories Last Count";"Sales Per Day Average";"Turnover";"Turnover days"
1269427604;"Acer EX215-54 Ноутбук 15.6"", Intel Core i3-1115G4 (3.0 ГГц), RAM 8 ГБ, SSD, Intel UHD Graphics, Windows Home, (NX.EGJEP.00G), черный";"";"FBS";"Acer";"Позитроника";0;0;0;52890;54090;40324;"40509,7429";52890;52890;105;4253523;"195130367,625";"11589,9809";"190876844,625";"97,8202";"https://www.ozon.ru/context/detail/id/1269427604/";"https://cdn1.ozone.ru/s3/multimedia-j/6820520023.jpg";8;4;"13,125";"0";1;52890;0;1;"0,2861";"0";0
1260417964;"Acer NX.KN3CD.002 Ноутбук 15.6"", RAM 16 ГБ, (NX.KN3CD.002)";"";"FBS";"Acer";"Betechno";0;0;0;81950;82720;71967;"77056,098";81950;81950;102;7859722;"288451797,4";"21416,1362";"280592075,4";"97,2752";"https://www.ozon.ru/context/detail/id/1260417964/";"https://cdn1.ozone.ru/s3/multimedia-r/6815978811.jpg";10;6;"9,8";"0";1;81950;0;1;"0,2779";"0";0
851097078;"Acer Aspire 3 A317-53G Ноутбук 17.3"", Intel Core i3-1115G4 (3.0 ГГц), RAM 8 ГБ, SSD 256 ГБ, NVIDIA GeForce MX350 (2 ГБ), Без системы, (NX.ADBER.002), серый, Русская раскладка";"";"FBO";"Acer";"ОМК";0;0;12;44090;47869;40840;"42883,1569";44090;44090;102;4374082;"19340820,4096";"11918,4796";"14966738,4096";"77,3842";"https://www.ozon.ru/context/detail/id/851097078/";"https://cdn1.ozone.ru/s3/multimedia-e/6550576310.jpg";83;48;"1,2048";"4,83";0;47870;0;1;"0,2779";"2,19";167
1262082742;"Acer Моноблок DQ.BKMCD.003Windows 11 Home), DQ.BKMCD.003";"";"FBS";"Acer";"Betechno";0;0;0;100720;100720;87417;"93443";100720;100720;100;9344300;"1714679050";"25461,3079";"1705334750";"99,455";"https://www.ozon.ru/context/detail/id/1262082742/";"https://cdn1.ozone.ru/s3/multimedia-q/6816956498.jpg";2;1;"0";"0";1;100720;0;1;"0,2725";"0";0
1257980812;"Мышь компьютерная Acer OMW121 black, 6400 dpi, USB (ZL.MCEEE.00U)";"";"FBS";"Acer";"Селлер";0;0;0;1553;1747;1331;"1331";1438;1553;100;133100;"48847700";"362,6703";"48714600";"99,7275";"https://www.ozon.ru/context/detail/id/1257980812/";"https://cdn1.ozone.ru/s3/multimedia-g/6676878436.jpg";1;1;"0";"0";1;2389;0;1;"0,2725";"0";0
986786362;"Мышь Acer 1604531-K";"";"FBO";"Acer";"Right shop";0;0;0;994;1358;870;"1175";1104;965;100;117500;"0";"320,1635";"0";"0";"https://www.ozon.ru/context/detail/id/986786362/";"https://cdn1.ozone.ru/s3/multimedia-c/6397310952.jpg";0;1;"0";"0";1;1139;-1;0;"0,2725";"0";0
869551635;"Acer Predator Helios PH317 Игровой ноутбук 17.3"", Intel Core i5-12500H (2.5 ГГц), RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3060 (6 Гб), Windows Home, (NH.QGVER.001), черный, Русская раскладка";"";"FBO";"Acer";"Best price";0;0;46;179990;199923;94990;"108763,53";133874;179990;100;10876353;"21576332,7081";"29635,8392";"10699979,7081";"49,5913";"https://www.ozon.ru/context/detail/id/869551635/";"https://cdn1.ozone.ru/s3/multimedia-g/6566531836.jpg";185;40;"0,3838";"4,93";0;199990;0;1;"0,2725";"0";0
984594855;"Клавиатура Acer 1341666-K";"";"FBO";"Acer";"Right shop";0;0;0;1744;2402;1563;"1747";1960;1692;100;174700;"0";"476,0218";"0";"0";"https://www.ozon.ru/context/detail/id/984594855/";"https://cdn1.ozone.ru/s3/multimedia-p/6105097381.jpg";0;1;"0";"0";1;1960;-1;0;"0,2725";"0";0
828912608;"27"" Монитор Acer VG272XBMIIPX, черный";"";"FBO";"Acer";"ОМК";0;0;2;34490;35339;24690;"27858";34490;34490;100;2785800;"9047686,7257";"7590,7357";"6261886,7257";"69,2098";"https://www.ozon.ru/context/detail/id/828912608/";"https://cdn1.ozone.ru/s3/multimedia-v/6510413215.jpg";113;4;"0,0354";"4,5";0;34490;0;1;"0,2725";"0";0
986787602;"Мышь Acer 1341648-K";"";"FBO";"Acer";"Right shop";0;0;0;987;1292;912;"1189";1051;987;100;118900;"0";"323,9782";"0";"0";"https://www.ozon.ru/context/detail/id/986787602/";"https://cdn1.ozone.ru/s3/multimedia-y/6249567442.jpg";0;1;"0";"0";1;987;-1;0;"0,2725";"0";0
994905628;"Мышь Acer 1604519-K";"";"FBO";"Acer";"Right shop";0;0;0;1391;1820;1357;"1357";1705;1351;100;135700;"0";"369,7548";"0";"0";"https://www.ozon.ru/context/detail/id/994905628/";"https://cdn1.ozone.ru/s3/multimedia-5/6397310909.jpg";0;1;"0";"0";1;1645;-1;0;"0,2725";"0";0
